number,wallet,ethereum-ETH,ethereum-USDT,ethereum-USDC,arbitrum-ETH,arbitrum-USDT,arbitrum-USDC,arbitrum-USDC,arbitrum-BTC.B,optimism-ETH,optimism-USDT,optimism-USDC,optimism-USDC,polygon-MATIC,polygon-USDT,polygon-USDC,polygon-USDC,polygon-BTC.B,avalanche-AVAX,avalanche-USDT,avalanche-USDC,avalanche-USDC.E,avalanche-BTC.B,bsc-BNB,bsc-USDT,bsc-USDC,bsc-BTC.B,zkera-ETH,nova-ETH,nova-USDC,nova-ARB,nova-DAI,nova-WBTC,base-ETH,base-USDBC,total no wallet usd
16,0xC79d671ad5328081b0D1A87691dd50E12872B392,0.0,0.0,0.0,5.2004,0.0,0.0,0.0,0.0,7.4279,0.0,0.4949,0.4949,9.8583,0.0,2.6446,2.6446,1.3084,15.0459,0.0295,1.1779,0.0,0.0,6.9245,0.0,0.0,0.0,0.0,4.2014,0.0351,0.0,0.0,0.0,0.0,0.0,57.4883
17,0x57569d3a1270a775471588AEa7dCb6f418218561,0.0,0.0,0.0,4.4643,0.0,0.0,2.3839,0.0,6.0926,0.0,0.527,0.527,7.92,0.0,0.0,0.0,0.0,13.9654,0.0,2.5044,0.0,0.0,5.9516,0.0,0.0,0.0,0.0,7.7013,0.0,0.0,0.0,0.0,0.0,0.0,52.0375
18,0x3E903A704BcA15C683a8e387f92EeBDa1C385348,0.0,0.0,0.0,4.9814,0.1473,0.0,0.0,0.0,5.6935,0.0,0.0,0.0,7.7667,0.0,1.9807,1.9807,0.0,7.6465,0.0,53.3796,0.0,0.0,5.5394,0.0241,0.0,0.0,0.0,6.4922,0.0,0.0,0.0,0.0,0.8636,0.0,96.4957
19,0x28Ba5E7EdB744450e4E95A8a0f75d8c718Aa0169,0.0,0.0,0.0,4.4808,1.3349,0.0,0.0,0.0,5.6971,0.0,0.0,0.0,11.304,0.0,56.0017,56.0017,0.0,5.601,0.0,0.0,0.0,0.0,2.4077,0.0,0.0,0.0,0.0,8.1135,0.0302,0.0,0.0,0.0,0.0,0.0,150.9726
20,0x3259e9931C40c08CE092b4E2f393FB893F1917e9,0.0,0.0,0.0,5.6307,0.6976,0.0,0.0,0.0,5.6127,0.0,0.0,0.0,3.9813,0.0,0.0,0.0,0.0,13.7619,0.0,54.4843,0.0,0.0,3.1671,0.0,0.0,0.0,0.0,4.7712,0.0,0.0,0.0,0.0,0.9231,0.0,93.0299
21,0xf7932b8ca9FdBC8ECA64484f6D052D93B35470B2,0.0,0.0,0.0,4.9515,0.5699,0.0,2.0524,0.0,6.5947,0.0,0.8354,0.8354,6.1654,0.0,0.0,0.0,0.0,11.3467,0.0,0.8272,0.0,0.0,3.5623,0.0,0.0,0.0,0.0,3.4422,0.0,0.0,0.0,0.0,0.0,0.0,41.1831
22,0xc1c856096A9AC468BAd80d16B557Afce328dcc78,0.0,0.0,0.0,5.9276,0.0,0.0,0.8936,0.0,14.8644,0.0,0.911,0.911,11.3863,0.0,0.0,0.0,0.0,11.2904,0.0,1.8052,0.0,0.0,0.1502,0.0,0.0,0.0,0.0,4.0845,0.0,0.0,0.0,0.0,0.0,0.0,52.2242
23,0x3bB63C78C245D5d0331b0F666fb55a59994f2bbE,0.0,0.0,0.0,6.0701,0.0,0.0,2.657,0.0,7.1437,0.0,0.0,0.0,13.0675,0.0,0.0,0.0,0.0,12.2233,0.0,0.8549,0.0,0.0,1.141,0.0,0.0,0.0,0.0,4.5129,0.0,0.0,0.0,0.0,0.0,0.0,47.6704
24,0x62114eEd1ecAdAf7f10bE643A10fCE386A439eF7,0.0,0.0,0.0,5.6268,0.0,0.0,1.7901,0.0,6.5506,0.0,0.8777,0.8777,3.8755,0.0,0.0,0.0,0.0,11.1827,0.0,0.8602,0.0,0.0,4.024,0.0,0.0,0.0,0.0,5.695,0.0,0.0,0.0,0.0,0.0,0.0,41.3603
25,0xd2d1ED488AB92C75571F09029B25f198A52600EA,0.0,0.0,0.0,5.9191,0.0,0.0,0.8443,0.0,8.1074,0.0,0.9331,0.9331,12.1569,0.0,0.0,0.0,0.0,13.6054,0.0,0.8734,0.0,0.0,3.2595,0.0,0.0,0.0,0.0,4.3579,0.0,0.0,0.0,0.0,0.0,0.0,50.9901
26,0x046e0aC7dbE0217d13F2fde4E55587Db95a86F20,0.0,0.0,0.0,4.3747,1.0599,0.0,0.9305,0.0,7.8956,0.0,0.9319,0.9319,3.6864,0.0,0.0,0.0,0.0,11.1309,0.0,0.1046,0.0,0.0,1.6446,0.0,0.0,0.0,0.0,4.0307,0.0,0.0,0.0,0.0,0.0,0.0,36.7217
